,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
PMI_015900,1223.57554357203,3.15627790792159,0.205028541749835,15.3943342765063,1.7865369431558e-53,1.32069743522792e-49
PMI_022644,489.950368371597,-4.69154189553638,0.304596436389509,-15.4024845173729,1.57499707301014e-53,1.32069743522792e-49
PMI_004575,5791.21521034851,-2.34392506799695,0.175951351530478,-13.3214382703445,1.73728082498701e-40,8.56189899914431e-37
PMI_000862,1901.25350373183,-2.68046459306604,0.204591729498057,-13.101529566431,3.22688250389274e-39,1.19273644550135e-35
PMI_011648,369.006367817374,-3.09745697707796,0.271850745484109,-11.393961681297,4.48140519211234e-30,1.32515151530762e-26
PMI_006131,2506.58889771608,-1.8456197809308,0.184225801381171,-10.0182480797689,1.26729338415683e-23,3.12282211412644e-20
PMI_006405,163.647848227594,3.67948029854857,0.384088434569475,9.57977373797496,9.72577653068043e-22,2.05422294294443e-18
PMI_004712,1008.85663816484,1.95127248633812,0.20765290225627,9.39679852839233,5.62484983960627e-21,1.03954256098223e-17
PMI_011495,141.137389904833,3.97156717098373,0.426756899223493,9.30639241734629,1.32247984062882e-20,2.17254049374412e-17
PMI_012014,640.598666047962,-2.31130636961458,0.248836753822609,-9.28844446854608,1.56559567515109e-20,2.31473320571088e-17
PMI_024682,1034.99829416673,1.7994093543011,0.20296301427394,8.86570078168249,7.6024384481367e-19,1.02183684050637e-15
PMI_009520,589.138000257554,2.03779057701885,0.230179839914765,8.85303672890486,8.51696205919431e-19,1.04936070037657e-15
PMI_020625,1053.01883641728,-1.71668296048029,0.20265116273551,-8.4711231719939,2.43038075959579e-17,2.76409073312491e-14
PMI_015901,462.712271869492,2.06000147271247,0.243607731343354,8.45622370584372,2.76175548094003e-17,2.91661105612131e-14
PMI_019393,8947.82936818292,1.47715740772534,0.176701786224695,8.35960653983985,6.29277746513035e-17,6.20258098813015e-14
PMI_000625,1497.44185326524,1.61660024009364,0.194067758106871,8.33008149248264,8.07867257288196e-17,7.46519837437874e-14
PMI_025468,6433.10825676927,-1.39600478835704,0.172842087951647,-8.07676420078644,6.65079744947908e-16,5.78423766414989e-13
PMI_026077,1292.62352883523,-1.57689231889955,0.196451690866461,-8.02687068736633,9.99903820635705e-16,8.21309888227717e-13
PMI_028908,2694.58873640519,-1.48497727852187,0.188277276342954,-7.88718270927676,3.09084726601469e-15,2.40516720147512e-12
PMI_005584,429.354311048893,-2.01397368543143,0.255895026266805,-7.87031195882482,3.53758014519987e-15,2.615156122339e-12
PMI_010734,2834.70283277799,-1.5585240211585,0.198314802586918,-7.85883857799988,3.87711491271652e-15,2.72967352307208e-12
PMI_014144,518.399193186913,-1.88147775188526,0.243343928125934,-7.73176370733842,1.06066685374045e-14,7.07191165121592e-12
PMI_015698,691.663455451459,-1.68202886233635,0.217678817810395,-7.727113181042,1.100128292039e-14,7.07191165121592e-12
PMI_006353,9753.17909737732,-1.47542463953824,0.191195284572447,-7.71684637954121,1.19243225737449e-14,7.34587955220079e-12
PMI_007293,237.445932202324,2.35245199902125,0.309222601830979,7.60763277034678,2.79161687326834e-14,1.6509622188509e-11
PMI_006677,40190.8211136454,-1.2812020908247,0.171532440152061,-7.46915329653641,8.07124683100068e-14,4.58974555370558e-11
PMI_004299,1938.37590474173,-1.3872928719261,0.187420688326592,-7.40202634144987,1.34121886283466e-13,7.34441514333722e-11
PMI_027270,312.667677377945,1.98807501730361,0.270904741755514,7.33864975718223,2.15759402381038e-13,1.1392867015013e-10
PMI_005585,233.90434137355,-2.20672363180317,0.301478193427477,-7.31967910088335,2.48564630253282e-13,1.26725105458441e-10
PMI_002028,1434.90446688227,1.41914019445784,0.194508154319455,7.29604473099408,2.96350416229576e-13,1.41340029159815e-10
PMI_008214,616.092792229175,-1.63315099905258,0.223804264130133,-7.29722914529894,2.93754275757941e-13,1.41340029159815e-10
PMI_006810,117.479664857983,-2.91989578909368,0.402955919048726,-7.24619158340395,4.28653672915008e-13,1.98051392314012e-10
PMI_022886,817.635134835173,-1.49878834462643,0.210036290263191,-7.13585420285388,9.61879241531046e-13,4.30951048061712e-10
PMI_026813,1886.93458806229,-1.3272182455017,0.187323533478964,-7.08516554675574,1.38878183795918e-12,5.86661127835041e-10
PMI_027297,110.178037908403,2.98114162497281,0.420630564384352,7.08731575256805,1.36738165362349e-12,5.86661127835041e-10
PMI_005961,27568.2185452549,-1.28769538545009,0.182541171222015,-7.05427371167644,1.73504553718451e-12,6.93754375622571e-10
PMI_015248,914.108122494415,-1.50895084545409,0.213908583780653,-7.0541855721012,1.73614554602875e-12,6.93754375622571e-10
PMI_012985,7827.2066389804,1.21838095124009,0.174087855715959,6.99865562838565,2.58430192783801e-12,1.00549747376539e-09
PMI_024129,10045.0094313978,-1.21024861057604,0.173429988914854,-6.97831221779192,2.98747173257034e-12,1.13255819400135e-09
PMI_002299,273.763687624305,-1.98536367197824,0.285356327882372,-6.95748955949781,3.46389610749203e-12,1.28034259873174e-09
PMI_023031,509.550839088733,-1.60151445840739,0.2358351518073,-6.79082166561829,1.11496681759839e-11,4.02067912151029e-09
