,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
WHL22.131957,4603.95587408613,-3.74341758607697,0.324844717323326,-11.5237139052843,1.0019717181655e-30,1.52379858898609e-26
WHL22.204854,3136.07539896711,2.50444854681031,0.228122893361578,10.9785059706425,4.84876388264075e-28,3.68700005636003e-24
WHL22.119492,7695.13976046453,-2.79574506232431,0.262360758410611,-10.6561098514161,1.63285256939698e-26,8.27747395846307e-23
WHL22.356292,4970.0395927493,3.70741862669315,0.355446029994917,10.4303278524342,1.80265228212147e-25,6.73862518667382e-22
WHL22.412515,342.570677820328,3.03963632392701,0.291971876251925,10.4107161379622,2.21548697615525e-25,6.73862518667382e-22
WHL22.99508,134.179345128848,3.8847177876272,0.383389790978449,10.1325540717008,3.96163924220616e-24,1.00414349325785e-20
WHL22.508483,3622.00207824587,2.36369551976776,0.237830883659115,9.93855584859898,2.82898544080489e-23,6.14617294053726e-20
WHL22.699375,2351.80285450662,3.08547748465967,0.314651688531936,9.80600961989277,1.06080792985902e-22,2.016595874662e-19
WHL22.277196,246.452418253965,-4.13337617989,0.42789958924392,-9.65968718781313,4.47227462862957e-22,7.55715028357761e-19
WHL22.126474,83.3421744441348,-5.42552099013064,0.575691698810974,-9.42435161274071,4.32771058312783e-21,6.58158225482081e-18
WHL22.732786,280.14754209882,-3.03577492695281,0.326338509563633,-9.30253352879538,1.37138227580854e-20,1.8959983318633e-17
WHL22.275365,596.118519082108,3.09051869399085,0.33598635776832,9.1983457736755,3.63502424500411e-20,4.60678739316854e-17
WHL22.123421,929.529706389338,2.33632657897579,0.259088725584908,9.01747682652497,1.92471093454005e-19,2.25161568403732e-16
WHL22.760310,2051.69669938595,2.03460336567683,0.227089045223382,8.9594958826633,3.26166141809729e-19,3.54309620331597e-16
WHL22.320997,160.46908733897,-3.82566170065855,0.439367341790735,-8.70720542192838,3.11458336468172e-18,3.15777225400531e-15
WHL22.351243,179.306814488962,-2.95251253042091,0.351352853166611,-8.40326897536488,4.34218581242511e-17,4.12724761471007e-14
WHL22.544197,7419.67846073247,-2.41770866800557,0.287975107537569,-8.39554740921541,4.6372863859369e-17,4.14846184454873e-14
WHL22.26671,1417.57522005768,2.18418110617778,0.261796406562178,8.34305227814128,7.23971409932819e-17,6.11675400125462e-14
WHL22.756116,1692.88556153294,1.91079847878058,0.230165856551556,8.3018328930667,1.02517336444247e-16,8.20570343496902e-14
WHL22.351237,145.864012081835,-2.84234820689338,0.343406230537651,-8.27692672448977,1.26394947495902e-16,9.15340172151273e-14
WHL22.760326,440.311186369395,2.16112453931913,0.261004210715912,8.28003706680193,1.23136946537438e-16,9.15340172151273e-14
WHL22.99593,1780.12580490817,-1.95956134867138,0.240079819479924,-8.16212438394993,3.29182954157743e-16,2.27555198492316e-13
WHL22.99793,1270.46602998379,-1.92734137906975,0.23881309750465,-8.07050115428541,7.00102022629597e-16,4.62919633050039e-13
WHL22.243261,5651.05529488299,1.94740678737476,0.241497897220626,8.06386643439659,7.39185188511347e-16,4.68397014453357e-13
WHL22.445263,681.342878005891,-2.4425727786194,0.303174296488478,-8.05666181767565,7.84061789685906e-16,4.76960467901731e-13
WHL22.58677,23748.7755941888,2.05489434889208,0.256949489629609,7.9972696262374,1.27208477778938e-15,7.44071742331571e-13
WHL22.644122,291.586307517871,2.09308261786797,0.268571060385957,7.793403410107,6.52279476571173e-15,3.67402454803496e-12
WHL22.699183,21917.8330162704,2.0236073698968,0.260313354607066,7.77373628391583,7.6204305543098e-15,4.13898242392655e-12
WHL22.576155,2614.61633324924,2.08499204567345,0.269596939239091,7.73373782194308,1.04433998240155e-14,5.47666291460784e-12
WHL22.17516,1342.33900016319,2.35315296546049,0.306510112441293,7.67724414283786,1.62547463992489e-14,8.24007277465925e-12
WHL22.194357,5331.38731445747,2.54403769629774,0.332076061544953,7.66100900035323,1.84477928025644e-14,9.05013009488386e-12
WHL22.129540,314.948169368046,2.43031044045686,0.321450207691712,7.56045689909044,4.01655964232772e-14,1.90886997001625e-11
WHL22.115549,35423.2447975072,2.10561586675138,0.279499202054761,7.53353086975482,4.93863303288158e-14,2.27596155042615e-11
WHL22.555879,485.937855565811,-2.0088019200969,0.270198198280601,-7.43454964866477,1.04924814281445e-13,4.69322522233003e-11
WHL22.688649,235.70083936607,2.9373196355004,0.395816973065704,7.42090368876835,1.16323884544278e-13,5.05443896042682e-11
WHL22.508751,946.897952214837,1.90957015900002,0.259983593120497,7.34496410361933,2.05814327891359e-13,8.69451194047719e-11
WHL22.589997,844.483843416717,2.43638784825976,0.33576102146547,7.2563153329289,3.97777160821172e-13,1.63497163831578e-10
WHL22.418802,40307.2319844433,2.04955331385737,0.28300112026445,7.24220918963915,4.41434258233079e-13,1.76666636821281e-10
WHL22.115545,35142.8348841269,2.05490703083968,0.284893165857825,7.21290391312922,5.47710652684193e-13,2.1226996764041e-10
WHL22.590000,1414.5384674722,2.38952367823818,0.331404464755962,7.21029416425565,5.58311329932693e-13,2.1226996764041e-10
WHL22.555906,445.829295186157,-2.13017736712276,0.295932312833363,-7.19819119016665,6.10165499694562e-13,2.26326754130607e-10
WHL22.521635,242.983722349582,-2.00928409238035,0.279996717511829,-7.17609874228423,7.17287579338364e-13,2.59726416823282e-10
WHL22.514021,255.866135652136,2.24787343179988,0.315053533700364,7.13489356998533,9.68620782029072e-13,3.42576391932514e-10
WHL22.246212,402.820942051358,1.94377091331052,0.272867228504928,7.12350443825987,1.05216861859715e-12,3.63667735264216e-10
WHL22.590609,2742.82122314743,2.17577083918447,0.307859633380229,7.0674119087813,1.5784988455597e-12,5.33462454294932e-10
WHL22.124787,582.121649986386,1.81148405779728,0.256710554817029,7.05652348065088,1.70719804519898e-12,5.64414518943177e-10
WHL22.404000,1099.4106724729,1.80399001911865,0.255860275822582,7.05068425850353,1.78040078469269e-12,5.76092236885243e-10
WHL22.90207,87.5986218388211,-3.22898182878274,0.45907585712925,-7.03365637429642,2.01190257400354e-12,6.37437798863454e-10
WHL22.241830,1216.11543899779,1.82562974889386,0.261692012497473,6.97625323551476,3.03156084563429e-12,9.40897496742985e-10
WHL22.692895,1903.87943288216,2.27193820480868,0.328889491079965,6.90790756903902,4.91854262286693e-12,1.49602392417121e-09
WHL22.23602,225.910139679252,2.34697218741595,0.341372352848078,6.87510915232326,6.19424118948516e-12,1.84709843156256e-09
WHL22.612393,212.225400678389,2.206110558271,0.323229090309569,6.82522280453817,8.77889577157038e-12,2.56748936334697e-09
WHL22.192605,59645.014018882,1.90855640063093,0.280267191139978,6.8097746042551,9.77517757584125e-12,2.80492265232818e-09
WHL22.750609,46.9866119517838,-3.94257354234823,0.580493635615956,-6.79176015110795,1.10773607066673e-11,3.11971299309251e-09
WHL22.433365,13742.3576143648,1.80144802601317,0.266142058187828,6.7687461285875,1.29903251602204e-11,3.59194300066603e-09
WHL22.405185,276.801093530976,-1.88491558958184,0.279366974022841,-6.74709527199779,1.50834240780305e-11,4.09622702461944e-09
WHL22.641127,359.767619756199,2.06587017009214,0.308249722791017,6.70193683026515,2.056749534898e-11,5.48755209240857e-09
WHL22.276748,11028.2198633737,1.85793436488879,0.277862530022162,6.68652360122327,2.28534305225833e-11,5.99232709288701e-09
WHL22.19407,712.058646676068,2.10255425611709,0.319203053317723,6.58688641685481,4.4914560987086e-11,1.15772990422306e-08
WHL22.221102,3766.01689260021,1.49173955848523,0.227293142476349,6.56306451762154,5.27130257804053e-11,1.33609949344734e-08
WHL22.385964,441.575583345754,1.70757117225031,0.260859993388474,6.54592967694892,5.91263998911418e-11,1.47408899925325e-08
WHL22.21056,165.112427100802,2.30113575930045,0.354917025932625,6.48358796891666,8.95666151555138e-11,2.16210965600802e-08
WHL22.503015,803.880815351841,1.73718916230561,0.267846475760099,6.48576449391683,8.82829758611812e-11,2.16210965600802e-08
WHL22.324194,1144.81217259037,-1.529620134117,0.236332128611892,-6.4723325732362,9.65014254226362e-11,2.29311512160539e-08
WHL22.332470,614.932974871798,-1.80816501175207,0.280904914338871,-6.43692907974827,1.21914861045333e-10,2.85243262581142e-08
WHL22.512518,2446.044853671,2.12485949845564,0.333325389084,6.37473042271066,1.83285056327727e-10,4.22333202520011e-08
WHL22.227714,741.212477427373,1.9222075855306,0.301740834445155,6.37039262208304,1.88544907921674e-10,4.27968799951167e-08
WHL22.368454,700.105992467288,1.65453092536627,0.261257184665537,6.33295856527125,2.40504167538749e-10,5.37880497048425e-08
WHL22.453054,898.164382692953,1.58309576366448,0.251510517244229,6.29435214483384,3.08686344655057e-10,6.80362598480306e-08
WHL22.572351,873.915691281198,1.66471892225147,0.266050381663588,6.2571566777771,3.92059491828342e-10,8.5177725024649e-08
WHL22.69973,1956.05643609751,1.42783295149616,0.228870697900433,6.2386009419053,4.41501688289133e-10,9.45684179648048e-08
WHL22.667802,164.093921504021,-2.01927512488832,0.324502224396792,-6.22268500205783,4.88717972311387e-10,1.0322809615155e-07
WHL22.255599,13606.6415738024,1.50137334390385,0.242059294343358,6.20250235784861,5.55723519734629e-10,1.15773195727729e-07
WHL22.572635,943.652015625476,1.69122972675352,0.274679113718822,6.15711076046635,7.40840384498746e-10,1.5225271037104e-07
WHL22.163286,5440.58725573164,1.73411617739755,0.282571637236047,6.13690812835879,8.41430129908472e-10,1.70619592208641e-07
WHL22.405628,92.4142917864821,-2.3287437860316,0.383675069642348,-6.06957285028291,1.28250905152311e-09,2.56636811257414e-07
WHL22.418814,335.578941575806,1.74645399779881,0.289649468419158,6.02954325216119,1.64423708676863e-09,3.24747501501004e-07
WHL22.422927,4004.82706613137,1.43486206642577,0.238230541154692,6.02299797276647,1.71215588600239e-09,3.33826496337493e-07
WHL22.503644,189.274647995832,1.85839920729053,0.308771426836213,6.01868905530665,1.75835266825235e-09,3.34262842234772e-07
WHL22.640166,242.659815208368,1.74387484917438,0.28970457394489,6.01949367049383,1.74963498192798e-09,3.34262842234772e-07
WHL22.51238,4532.33692983393,-1.53760266677678,0.256273006652454,-5.99986197087861,1.97485328235242e-09,3.70784798987848e-07
WHL22.202707,23696.5320195202,1.32186779164022,0.221051935550175,5.97989693395006,2.23278847155227e-09,4.14100574089841e-07
WHL22.72065,2445.73836500444,-1.93410711518481,0.325335503338574,-5.94496172516406,2.76521460279456e-09,5.06667273244574e-07
WHL22.4597,169.789883249156,-2.54274997005814,0.43106824046602,-5.89871795544302,3.66336821285241e-09,6.6324409263166e-07
WHL22.19105,4266.7883529033,-1.36805251519777,0.232042384719265,-5.89570098089146,3.73094077828076e-09,6.6753114536581e-07
WHL22.535603,500.167555623175,-1.52302119479676,0.258774768369032,-5.88550887088352,3.96831099908255e-09,7.01745042721482e-07
WHL22.217788,931.572030405066,2.09203033823583,0.355633879727321,5.88253948088375,4.0401892069761e-09,7.06243648961983e-07
WHL22.524748,435.418203857052,1.47769497865804,0.251497196255876,5.87559225572684,4.21334237361295e-09,7.28142168385292e-07
WHL22.224354,1932.90590744656,1.81856004733353,0.310101507475263,5.86440247304697,4.50752936737364e-09,7.70230411449645e-07
WHL22.219243,2357.5224485804,1.4776692481062,0.253647638886521,5.82567712671394,5.6881493252252e-09,9.61170832644721e-07
WHL22.467582,176.06072593772,1.79484461330068,0.308216780334165,5.82331893596039,5.76903107025094e-09,9.64125544136004e-07
WHL22.250276,69405.7417212527,1.64056340399538,0.281991563930106,5.81777476294295,5.9636184371376e-09,9.85812056434658e-07
WHL22.235937,404.690702356183,2.06050242243526,0.356597294083604,5.77823347687034,7.54890067655387e-09,1.2344481880541e-06
