PMI_028462	Pm-Kcna
PMI_027925	Pm-Lipe
PMI_020511	Pm-Vps4b
PMI_027827	Pm-Cryl1_1
PMI_026104	Pm-Atp6v0
PMI_029577	
PMI_026375	Pm-Rg9mtd2
PMI_020850	Pm-Smc1L1
PMI_025951	Pm-Parp3
PMI_015621	Pm-Hypp_527
PMI_015622	PMI_015622
PMI_028060	Pm-Dci
PMI_025811	Pm-Ccs
PMI_028360	Pm-Ip3r
PMI_023248	Pm-Slco2a1
PMI_023249	Pm-Slco2a1
PMI_025638	Pm-Uqcrc2
PMI_018699	Pm-PnpLa7
PMI_028990	Pm-Lmx1
PMI_023728	Pm-Cndrep
PMI_014225	Pm-Hyls1
PMI_014226	
PMI_014227	
PMI_027813	PMI_027813
PMI_029360	Pm-Sppl3
PMI_023578	PMI_023578
PMI_023579	PMI_023579
PMI_024135	Pm-4Cl_1
PMI_025430	Pm-MucA
PMI_027069	Pm-Plcb4
PMI_018975	Pm-Unk_44
PMI_026858	Pm-Mfsd6l_1
PMI_024337	Pm-Selenbp1
PMI_027307	Pm-Exosc2
PMI_025493	Pm-Hsp40D
PMI_022261	
PMI_026621	Pm-Clca_11
PMI_023455	PMI_023455
PMI_023456	Pm-KatB
PMI_027429	Pm-Hypp_1556
PMI_023302	Pm-Asph
PMI_028620	
PMI_025886	Pm-Sld5
PMI_026501	Pm-Mlckb
PMI_021957	Pm-Trpm3_4
PMI_012898	Pm-Smchd_2
PMI_025946	Pm-Hypp_-634
PMI_026152	
PMI_026250	Pm-Orctl3_1
PMI_025322	
PMI_025323	
PMI_025847	Pm-Ilkap_1
PMI_023741	Pm-Dysf_1
PMI_022386	Pm-Cyp2L26
PMI_022387	Pm-Rnf32
PMI_020538	Pm-Hnrpa
PMI_020539	Pm-Hnrpa
PMI_024560	Pm-Mipol1L
PMI_025868	Pm-Pde7aL
PMI_029240	
PMI_026502	Pm-Schip1
PMI_026503	Pm-Schip1
PMI_027979	
PMI_018454	Pm-Hypp_185
PMI_018455	Pm-Hypp_185
PMI_029587	PMI_029587
PMI_026973	Pm-Slc2a5
PMI_020770	
PMI_022919	Pm-Ssh
PMI_025230	Pm-Flad1
PMI_024868	Pm-Eif2ak3perk
PMI_027101	
PMI_018806	Pm-Rrm1
PMI_025621	Pm-LamB2Lf
PMI_024824	Pm-Cct5
PMI_024825	PMI_024825
PMI_028251	Pm-Uroc1
PMI_028052	Pm-Cts2
PMI_020321	Pm-DcxL
PMI_029671	Pm-Znf593
PMI_025464	
PMI_026189	Pm-Hypp_2600
PMI_025101	
PMI_029008	Pm-Npr1L
PMI_017318	Pm-Sea/Egf
PMI_017558	PMI_017558
PMI_017559	Pm-Coq7
PMI_017560	Pm-Phscd1
PMI_028817	Pm-Dci
PMI_027452	Pm-Smad2/3
PMI_029013	
PMI_026584	Pm-RasGEF
PMI_022350	Pm-BetaGi
PMI_016175	Pm-Hypp_177
PMI_023903	Pm-Titan
PMI_023904	Pm-Titan
PMI_020967	Pm-Dcdc5
PMI_018302	Pm-CdoL
PMI_018303	Pm-CdoL
PMI_025298	Pm-Bdnr
PMI_018563	
PMI_027854	Pm-Eftud1L1
PMI_026167	Pm-Pla2g6
PMI_029019	Pm-Calm
PMI_011902	Pm-Spg11_1
PMI_011903	Pm-Spg11L_2
PMI_011904	Pm-Spg11
PMI_016699	Pm-Trappc9
PMI_028689	Pm-Spryd3
PMI_025421	Pm-Prpf8_1
PMI_027681	
PMI_024751	Pm-Hnrpa2B1L
PMI_015015	
PMI_015016	Pm-Wdr65
PMI_021605	Pm-Fbxl10
PMI_020968	Pm-Usp36L
PMI_020969	Pm-Usp36L
PMI_021675	Pm-Plk1_1
PMI_021676	Pm-Atp7a
PMI_023510	Pm-Mov10
PMI_024852	Pm-Fbn3_2
PMI_028558	
PMI_026165	Pm-Melkl
PMI_025857	
PMI_029438	Pm-PolypL_116
PMI_029584	Pm-Racl1
PMI_025446	Pm-Syk/Zap70
PMI_025447	
PMI_020454	Pm-Phtf2L
